Node_1_orthology_group_id,Node_2_orthology_group_id,Layer,Salmonella_dublin_CT_02021853,Salmonella_enteritidis_PT4_P125109,Salmonella_paratyphi_A_ATCC_9150_SARB42,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Salmonella_heidelberg_SL476,Salmonella_paratyphi_C_RKS4594,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Salmonella_newport_SL254,Salmonella_typhi,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Salmonella_typhimurium_D23580,Salmonella_typhimurium_SL1344,Salmonella_typhimurium_14028s_SGSC_2262,Salmonella_agona_SL483,Salmonella_typhimurium_4_74,Salmonella_choleraesuis_SC-B67,Salmonella_schwarzengrund_CVM19633,Salmonella_gallinarum_287_91_NCTC_13346-B67,Salmonella_paratyphi_A_AKU_12601-B67
OMA03197,OMA05985,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04467,OMA05985,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05381,OMA05985,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04412,OMA06020,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05327,OMA06020,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05327,OMA06145,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03507,OMA05432,Regulatory,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05327,OMA05775,Regulatory,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03507,OMA00002,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03001,OMA00008,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04394,OMA00018,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA00542,OMA00046,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03001,OMA00086,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03616,OMA00086,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03395,OMA00095,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA00542,OMA00096,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03047,OMA00096,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02591,OMA00106,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03197,OMA00106,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05145,OMA00106,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02349,OMA00107,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03616,OMA00112,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03233,OMA00128,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03830,OMA00147,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02510,OMA00149,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03568,OMA00149,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04660,OMA00165,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04467,OMA00169,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03508,OMA00189,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02430,OMA00213,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA01895,OMA00222,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02349,OMA00222,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02510,OMA00222,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03197,OMA00222,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03453,OMA00222,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03233,OMA00266,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02349,OMA00267,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03568,OMA00267,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03507,OMA00301,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03568,OMA00306,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02349,OMA00337,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA01895,OMA00342,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03568,OMA00342,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05341,OMA00376,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03395,OMA00391,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03507,OMA00405,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05145,OMA00407,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04467,OMA00416,Regulatory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
